,Player,Team,Pos,Injury,Status,Est. Return
203,Jonny DeLuca,TBR,OF,Strained shoulder,10-Day IL,
204,Kevin Kelly,TBR,RP,Strained gluteal,15-Day IL,
205,Nate Lavender,TBR,RP,Tommy John surgery (internal brace),60-Day IL,
206,Ha-Seong Kim,TBR,INF,Shoulder surgery (torn labrum),10-Day IL,
207,Cody Bradford,TEX,SP,Sprained elbow,60-Day IL,
208,Jon Gray,TEX,SP,Fractured wrist (right),60-Day IL,
209,Josh Jung,TEX,3B,Neck spasms,Activated,04/08/25
210,Jack Leiter,TEX,SP,Blister on finger (right middle),15-Day IL,
211,Wyatt Langford,TEX,OF,Strained oblique,10-Day IL,
212,Josh Sborz,TEX,RP,Shoulder surgery (debridement procedure),60-Day IL,
213,Ryan Burr,TOR,RP,Shoulder inflammation,15-Day IL,
214,Erik Swanson,TOR,RP,Elbow discomfort (median nerve entrapment),15-Day IL,
215,Max Scherzer,TOR,SP,Thumb inflammation,15-Day IL,
216,Angel Bastardo,TOR,SP,Tommy John surgery,60-Day IL,
217,Alek Manoah,TOR,SP,Elbow surgery (internal brace),60-Day IL,
218,Daulton Varsho,TOR,OF,Shoulder surgery (rotator cuff),10-Day IL,
219,Zach Brzykcy,WSN,RP,Strained quad,15-Day IL,
220,Mason Thompson,WSN,RP,Tommy John surgery,60-Day IL,
221,Derek Law,WSN,RP,Forearm inflammation,15-Day IL,
222,Andrés Chaparro,WSN,1B/3B,Strained oblique,10-Day IL,
223,DJ Herz,WSN,SP,Sprained elbow,60-Day IL,
224,Cade Cavalli,WSN,SP,Tommy John surgery,15-Day IL,
225,Michael Soroka,WSN,SP,Strained biceps,15-Day IL,
226,Orlando Ribalta,WSN,RP,Strained biceps,15-Day IL,
227,CJ Abrams,WSN,SS,Strained hip flexor,10-Day IL,
228,Josiah Gray,WSN,SP,Tommy John surgery (internal brace),60-Day IL,
